flow,run,tag,nonzero,total,pct
flow_0,1,t0.50,7144,7144,100.000000
flow_0,1,t1.00,7144,7144,100.000000
flow_0,1,t1.50,7144,7144,100.000000
flow_0,2,t0.50,7144,7144,100.000000
flow_0,2,t1.00,7144,7144,100.000000
flow_0,2,t1.50,7144,7144,100.000000
flow_0,3,t0.50,7144,7144,100.000000
flow_0,3,t1.00,7144,7144,100.000000
flow_0,3,t1.50,7144,7144,100.000000
flow_m0p025,1,t0.50,7144,7144,100.000000
flow_m0p025,1,t1.00,7144,7144,100.000000
flow_m0p025,1,t1.50,7144,7144,100.000000
flow_m0p025,2,t0.50,7144,7144,100.000000
flow_m0p025,2,t1.00,7144,7144,100.000000
flow_m0p025,2,t1.50,7144,7144,100.000000
flow_m0p025,3,t0.50,7144,7144,100.000000
flow_m0p025,3,t1.00,7144,7144,100.000000
flow_m0p025,3,t1.50,7144,7144,100.000000
flow_m0p05,1,t0.50,7144,7144,100.000000
flow_m0p05,1,t1.00,7144,7144,100.000000
flow_m0p05,1,t1.50,7144,7144,100.000000
flow_m0p05,2,t0.50,7144,7144,100.000000
flow_m0p05,2,t1.00,7144,7144,100.000000
flow_m0p05,2,t1.50,7144,7144,100.000000
flow_m0p05,3,t0.50,7144,7144,100.000000
flow_m0p05,3,t1.00,7144,7144,100.000000
flow_m0p05,3,t1.50,7144,7144,100.000000
flow_m0p08,1,t0.50,7144,7144,100.000000
flow_m0p08,1,t1.00,7144,7144,100.000000
flow_m0p08,1,t1.50,7144,7144,100.000000
flow_m0p08,2,t0.50,7144,7144,100.000000
flow_m0p08,2,t1.00,7144,7144,100.000000
flow_m0p08,2,t1.50,7144,7144,100.000000
flow_m0p08,3,t0.50,7144,7144,100.000000
flow_m0p08,3,t1.00,7144,7144,100.000000
flow_m0p08,3,t1.50,7144,7144,100.000000
